X,Y,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM,OBJECTID
-76.9505204149265,38.8986277560075,Ward 7                                                                                                                                                                                                  ,"600 Kenilworth Terrace Northeast, Washington, District of Columbia 20019                                                                                                                                ",The Grove at Parkside,Completed 2015 to Date                                                                                                                                                                                  ,DCHA DCHFA DHCD OP                                                                                                                                                                                      ,186,38.89852971,-76.95060905,10,0,176,0,0,05-28J                                            ,311058,404292.33,136753.27,600 KENILWORTH TERRACE NE,2022/04/04 05:00:58+00,80973
-77.031141000364,38.9734617085006,Ward 4                                                                                                                                                                                                  ,"1324 Main Drive Northwest, Washington, District of Columbia 20307                                                                                                                                       ",Walter Reed - HELP Walter Reed,Completed 2015 to Date                                                                                                                                                                                  ,DMPED DCHA DHCD                                                                                                                                                                                         ,77,38.973454,-77.031139,75,2,0,0,0,                                                  ,316865,397301.69,145059.79,1324 MAIN DRIVE NW,2022/04/04 05:00:58+00,80974
-77.0024987234357,38.8772445667178,Ward 6                                                                                                                                                                                                  ,"1100 2nd Place Southeast, Washington, District of Columbia 20003                                                                                                                                        ",The Harlow (Square 769N),Completed 2015 to Date                                                                                                                                                                                  ,DCHA DHCD                                                                                                                                                                                               ,36,38.877362,-77.001827,9,27,0,0,0,                                                  ,313921,399783.38,134378.41,1100 2ND PLACE SE,2022/04/04 05:00:58+00,80975
-76.9280328401968,38.885781654608,Ward 7                                                                                                                                                                                                  ,"5100 Bass Pl SE, Washington, District of Columbia 20019                                                                                                                                                 ",Maya Angelou Cooperative,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,9,38.8857742,-76.92803058,0,0,0,9,0,                                                  ,13515,406244.15,135328.55,5100 BASS PLACE SE,2022/04/04 05:00:58+00,80976
-76.9462963121272,38.8942162045753,Ward 7                                                                                                                                                                                                  ,"4000 Benning Rd NE, Washington, District of Columbia 20019                                                                                                                                              ",4000 Benning (St. Stephens),Completed 2015 to Date                                                                                                                                                                                  ,DCHA DCHFA DHCD                                                                                                                                                                                         ,71,38.89408184,-76.94613945,18,53,0,0,0,                                                  ,312333,404659.04,136263.76,4000 BENNING ROAD NE,2022/04/04 05:00:58+00,80977
-77.0276945526389,38.9399031861537,Ward 4                                                                                                                                                                                                  ,"4000 Kansas Avenue Northwest, Washington, District of Columbia 20011                                                                                                                                    ",Thompson Place,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,19,38.93994742,-77.02773369,0,0,19,0,0,                                                  ,223601,397599.21,141334.39,4000 KANSAS AVENUE NW,2022/04/04 05:00:58+00,80978
-76.9838711730747,38.8839152747611,Ward 6                                                                                                                                                                                                  ,"401 15th Street Southeast, Washington, District of Columbia 20003                                                                                                                                       ",Kingston Condominum,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,2,38.88390782,-76.9838689,0,1,0,1,0,                                                  ,309081,401399.59,135119.03,401 15TH STREET SE,2022/04/04 05:00:58+00,80979
-76.9904169908602,38.8618181122044,Ward 8                                                                                                                                                                                                  ,"1262 Talbert Street Southeast, Washington, District of Columbia 20020                                                                                                                                   ",River East @ Grandview,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,46,38.8615113245,-76.9906626816,3,13,0,30,0,                                                  ,285996,400831.91,132666,1262 TALBERT STREET SE,2022/04/04 05:00:58+00,80980
-76.9641368955571,38.8800871817404,Ward 7                                                                                                                                                                                                  ,"3009 G Street Southeast, Washington, District of Columbia 20019                                                                                                                                         ",HFH Transition House,Completed 2015 to Date                                                                                                                                                                                  ,DHCD                                                                                                                                                                                                    ,7,38.8800881,-76.96410489,7,0,0,0,0,                                                  ,42364,403111.97,134694.57,3009 G STREET SE,2022/04/04 05:00:58+00,80981
-76.9122475552437,38.8948603173849,Ward 7                                                                                                                                                                                                  ,"414 Eastern Ave NE, Washington, District of Columbia 20019                                                                                                                                              ",Eden Place - Phase I,Completed 2015 to Date                                                                                                                                                                                  ,DMPED DHCD                                                                                                                                                                                              ,29,38.89485286,-76.9122453,0,0,29,0,0,                                                  ,26187,407612.73,136337.55,414 EASTERN AVENUE NE,2022/04/04 05:00:58+00,80982
