OBJECTID,FeatureId,Name,Sensitive,Type,Access,LastUpdate,SHAPE_Length,SHAPE_Area
534,74443,BERNEY MARSHES & BREYDON WATER,OPEN,RSPB,Publicised Reserve,2021/03/25 00:00:00+00,54312.0094589143,-9714273.82926978
535,74444,LARNE LOUGH ISLANDS,OPEN,RSPB,Non-Publicised Reserve,2021/10/15 00:00:00+00,463.490119953592,-8896.34430519458
536,74445,HAYLE ESTUARY,OPEN,RSPB,Publicised Reserve,2020/05/21 00:00:00+00,12451.1823093759,-1521573.91553029
537,74446,PORTMORE LOUGH,OPEN,RSPB,Publicised Reserve,2021/11/11 00:00:00+00,24931.8540951861,-3853468.65154699
538,74447,MARAZION MARSH,OPEN,RSPB,Publicised Reserve,2020/05/28 00:00:00+00,5211.26983888076,-319292.434636337
539,74448,ISLEY MARSH,OPEN,RSPB,Publicised Reserve,2020/05/22 00:00:00+00,3280.78121257375,-392225.576256
540,74449,STOBOROUGH HEATH,OPEN,RSPB,Non-Publicised Reserve,2020/05/01 00:00:00+00,10804.2374853527,-1304143.57677546
541,74450,FORE WOOD,OPEN,RSPB,Publicised Reserve,2020/04/30 00:00:00+00,3928.05765702652,-563776.584423362
542,74451,PULBOROUGH BROOKS,OPEN,RSPB,Publicised Reserve,2020/06/12 00:00:00+00,11803.4778836208,-2579841.20724729
543,74452,EDDERTON SANDS,OPEN,RSPB,Non-Publicised Reserve,2020/11/25 00:00:00+00,3843.93007531936,-820844.68258232
544,74453,RAMSEY ISLAND,OPEN,RSPB,Publicised Reserve,2021/05/20 00:00:00+00,27680.7464359432,-2774685.18952934
545,74454,FAIRY GLEN,OPEN,RSPB,Publicised Reserve,2020/11/26 00:00:00+00,2743.56769490239,-62490.6475076776
546,74455,GLENBORRODALE,OPEN,RSPB,Publicised Reserve,2021/02/17 00:00:00+00,5349.1244177457,-1019482.32801817
547,74456,CONWY,OPEN,RSPB,Publicised Reserve,2021/03/31 00:00:00+00,3143.10684202436,-511506.219492454
548,74457,MILL DAM,OPEN,RSPB,Publicised Reserve,2021/01/20 00:00:00+00,2924.57477883203,-284462.547389088
549,74458,GRANGE HEATH,OPEN,RSPB,Non-Publicised Reserve,2020/04/30 00:00:00+00,6033.14792405858,-743109.751145917
550,74459,MARSHSIDE,OPEN,RSPB,Publicised Reserve,2020/09/03 00:00:00+00,20338.0356532284,-3800504.69747417
551,74460,STRANGFORD BAY & SANDY ISLAND,OPEN,RSPB,Non-Publicised Reserve,2021/11/19 00:00:00+00,4119.00977827901,-420047.99301001
552,74461,CARLINGFORD LOUGH ISLANDS,OPEN,RSPB,Non-Publicised Reserve,2021/10/14 00:00:00+00,5711.93922035125,-167818.9130885
553,74462,THE REEF,OPEN,RSPB,Non-Publicised Reserve,2021/03/17 00:00:00+00,17431.2309819723,-3711617.2166511
554,74463,MERSEHEAD,OPEN,RSPB,Publicised Reserve,2021/06/25 00:00:00+00,26347.8027308082,-16275922.4944318
555,74464,RAMNA STACKS & GRUNEY,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,4776.82232559092,-116636.122346709
556,74465,SUMBURGH HEAD,OPEN,RSPB,Publicised Reserve,2021/03/11 00:00:00+00,6779.25638792451,-178719.234223207
557,74466,ORONSAY,OPEN,RSPB,Publicised Reserve,2013/08/22 00:00:00+00,46404.1285113474,-5739199.98523644
558,74467,MERSEY ESTUARY,OPEN,RSPB,Non-Publicised Reserve,2020/09/09 00:00:00+00,19210.25580587,-14998109.6536598
559,74468,WAREHAM MEADOWS,OPEN,RSPB,Publicised Reserve,2021/07/16 00:00:00+00,28938.3947708374,-3616200.64812604
560,74469,AMBERLEY WILDBROOKS,OPEN,RSPB,Publicised Reserve,2013/08/20 00:00:00+00,16725.2062724906,-2126782.68204352
