OBJECTID,FeatureId,Name,Sensitive,Type,Access,LastUpdate,SHAPE_Length,SHAPE_Area
460,22901,FORSINARD FLOWS,OPEN,RSPB,Publicised Reserve,2020/12/04 00:00:00+00,239405.128835087,-199803339.84023
461,22915,SEASALTER LEVELS,OPEN,RSPB,Non-Publicised Reserve,2021/06/03 00:00:00+00,17686.7244733656,-2906099.08843355
462,23043,DOVE STONE,OPEN,RSPB,Publicised Reserve,2019/08/01 00:00:00+00,52280.3553637352,-18889198.9770243
463,23988,HAZELEY HEATH,OPEN,RSPB,Publicised Reserve,2020/05/21 00:00:00+00,9668.55660430918,-1084830.07904705
464,74373,NORTH HILL,OPEN,RSPB,Publicised Reserve,2021/01/21 00:00:00+00,13078.7032582979,-2013788.79678698
465,74374,THE LODGE,OPEN,RSPB,Publicised Reserve,2020/01/02 00:00:00+00,13248.1432217199,-2203932.70708311
466,74375,HOBBISTER,OPEN,RSPB,Publicised Reserve,2020/10/23 00:00:00+00,23180.8467815659,-6915862.6295728
467,74376,LOCH RUTHVEN,OPEN,RSPB,Publicised Reserve,2021/01/15 00:00:00+00,5241.33145046562,-841459.936980346
468,74377,CHURCH WOOD,OPEN,RSPB,Publicised Reserve,2017/06/02 00:00:00+00,1941.53048102369,-140614.733097272
469,74378,SKINFLATS,OPEN,RSPB,Publicised Reserve,2021/03/04 00:00:00+00,15504.3950424962,-4093706.4416777
470,74379,MAWDDACH WOODLANDS,OPEN,RSPB,Publicised Reserve,2021/05/13 00:00:00+00,13229.8243709121,-1350510.11170782
471,74380,FETLAR,OPEN,RSPB,Publicised Reserve,2020/11/26 00:00:00+00,872.77665425687,-45671.3492291378
472,74381,HAWESWATER,OPEN,RSPB,Publicised Reserve,2020/08/28 00:00:00+00,48109.95760221,-21833620.4378688
473,74382,NORTHWARD HILL,OPEN,RSPB,Publicised Reserve,2020/05/29 00:00:00+00,15809.1625064732,-3011060.35279067
474,74383,DUNGENESS,OPEN,RSPB,Publicised Reserve,2020/04/17 00:00:00+00,34151.5433928881,-10570156.0059331
475,74384,STOUR ESTUARY,OPEN,RSPB,Publicised Reserve,2020/01/02 00:00:00+00,50210.8421280514,-5400851.96839613
476,74385,GRASSHOLM,OPEN,RSPB,Non-Publicised Reserve,2021/07/16 00:00:00+00,1826.3949631638,-83869.4161317822
477,74386,MINSMERE,OPEN,RSPB,Publicised Reserve,2021/09/02 00:00:00+00,27167.3362422131,-9782351.41494537
478,74387,CARNGAFALLT,OPEN,RSPB,Publicised Reserve,2021/03/26 00:00:00+00,21593.741380972,-3997211.32448062
479,74388,GWENFFRWD/DINAS,OPEN,RSPB,Publicised Reserve,2021/04/29 00:00:00+00,30223.0694688629,-6841211.10014058
480,74389,NAGSHEAD,OPEN,RSPB,Publicised Reserve,2019/10/03 00:00:00+00,11932.6143167976,-3052931.24619524
481,74390,BARON'S HAUGH,OPEN,RSPB,Publicised Reserve,2021/02/03 00:00:00+00,7987.74926833657,-1078336.14961165
482,74391,MARWICK HEAD,OPEN,RSPB,Publicised Reserve,2021/01/20 00:00:00+00,4975.41001442589,-118929.24761065
483,74392,LAKE VYRNWY,OPEN,RSPB,Publicised Reserve,2021/05/07 00:00:00+00,59257.4325626495,-101013469.660304
484,74393,TUDELEY WOODS,OPEN,RSPB,Publicised Reserve,2020/07/10 00:00:00+00,22238.5028782226,-2869524.19021044
485,74394,LOCH OF SPIGGIE,OPEN,RSPB,Publicised Reserve,2021/01/08 00:00:00+00,8713.83518532094,-1150500.91956156
486,74395,RYE MEADS,OPEN,RSPB,Publicised Reserve,2019/12/13 00:00:00+00,2881.44104504106,-262309.332231281
487,74396,TRUMLAND,OPEN,RSPB,Publicised Reserve,2021/01/28 00:00:00+00,9544.57812583774,-4178715.36616434
